Urban Area,PopGroup,Year,Population,PopRank,Peak Travelers,Commuters,Freeway Daily VMT,Freeway Lane miles,Arterial Daily VMT,Arternial Lane-miles,Transit Passenger Miles,Transit Passenger Trips,Value of Time,Commercial Value of Time,Avg. State Gas Cost,Avg. State Diesel Cost,% Peak VMT Congested,% Lane-miles Congested,Number of Rush Hours,Gallons Excess Fuel,Gallons Excess Ranged,Gallons Excess per Commuter,Gallons per Rank,Total Hours of Delay,Total Delay Rank,Delay per Commuter,Rank,Travel Time Index,TTI Rank,Commuter Stress Index,CSI Rank,Freeway Planning Time Index 95,Freeway Planning Time Index 95 Rank,Freeway Planning Time Index 80,Freeway Planning Time Index 80 Rank,Excess CO2 lbs,Excess CO2 Rank,Excess CO2 per Peak Commuter,Excess CO2 per Peak Commuter Rank,Truck Congestion Cost,Truck Commodity Value,Annual Congestion Cost,Annual Congestion Cost Rank,Congestion Cost per Commuter,Congestion Cost per Commuter Rank,Delay Reduced due to Operations Treatments,Delay Reduced due to Operations per Commuter,Wasted Fuel Saved by Operations Treatments,Congestion Cost Saved by Operations Treatments,Delay Reduced due to Transit,Delay Reduced due to Transit per Commuter,Fuel Saved by Transit,Congestion Cost Saved by Transit,Roadway Congestion Index,Presence of Urban Rail in 2011,Size Category of Urban Rail in 2011
Laredo TX,Sml,1993,130,99,60,56,300,45,700,245,18.4,4.6,10.78,60.84,1.1,1.17,12,22,NA,144,101,4,92,342,101,5,98,1.06,84,NA,NA,NA,NA,NA,NA,3,101,84,89,NA,NA,8,100,105,98,NA,NA,NA,NA,NA,NA,NA,NA,0.52,NA,NA
Las Vegas NV,Lrg,1993,850,40,395,367,4100,260,7435,1440,63,21.2,10.78,60.84,1.28,1.32,56,50,NA,9225,33,18,12,17487,34,30,18,1.17,25,NA,NA,NA,NA,NA,NA,184,33,355,14,NA,NA,232,34,558,20,NA,NA,NA,NA,NA,NA,NA,NA,1.09,NA,NA
Little Rock AR,Sml,1993,310,83,144,134,3915,390,2770,775,9.9,2.6,10.78,60.84,1.04,1.09,14,13,NA,908,91,4,92,2188,89,11,87,1.03,99,NA,NA,NA,NA,NA,NA,12,92,52,97,NA,NA,28,90,187,89,NA,NA,NA,NA,NA,NA,NA,NA,0.72,NA,NA
Los Angeles-Long Beach-Santa Ana CA,Vlg,1993,11950,2,5437,4921,114000,5055,115865,18000,2082.9,512.9,10.78,60.84,1.23,1.26,77,54,NA,210182,1,28,1,500908,1,66,1,1.36,1,NA,NA,NA,NA,NA,NA,3423,1,458,5,NA,NA,6611,1,1197,1,NA,NA,NA,NA,NA,NA,NA,NA,1.52,NA,NA
Louisville KY-IN,Lrg,1993,820,42,381,354,7850,625,7495,1220,73.1,22.2,10.78,60.84,1.05,1.13,43,40,NA,6462,43,11,44,15793,39,27,28,1.16,34,NA,NA,NA,NA,NA,NA,131,42,225,43,NA,NA,217,38,488,34,NA,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA
Madison WI,Sml,1993,320,81,148,139,2300,195,2370,585,37,10,10.78,60.84,1.12,1.2,17,24,NA,1508,84,5,86,1902,91,10,91,1.07,81,NA,NA,NA,NA,NA,NA,31,80,96,87,NA,NA,27,91,171,92,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA
McAllen TX,Med,1993,280,87,133,124,1475,160,2095,575,0,0,10.78,60.84,1.1,1.17,7,12,NA,547,99,0,100,867,98,4,100,1.03,99,NA,NA,NA,NA,NA,NA,11,95,0,100,NA,NA,14,97,83,100,NA,NA,NA,NA,NA,NA,NA,NA,0.68,NA,NA
Memphis TN-MS-AR,Lrg,1993,885,39,412,382,5150,445,10850,2450,58.1,13,10.78,60.84,1.07,1.14,27,29,NA,9220,34,13,30,16226,37,26,35,1.18,18,NA,NA,NA,NA,NA,NA,186,32,272,26,NA,NA,214,39,451,40,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA
Miami FL,Vlg,1993,4080,5,1922,1747,25815,1755,30925,5715,640.7,120.7,10.78,60.84,1.13,1.22,60,59,NA,40170,8,15,23,78206,9,29,22,1.2,13,NA,NA,NA,NA,NA,NA,807,8,299,22,NA,NA,1052,9,510,26,NA,NA,NA,NA,NA,NA,NA,NA,1.06,NA,NA
Milwaukee WI,Lrg,1993,1230,30,611,581,7500,575,12705,3175,160.9,56,10.78,60.84,1.12,1.2,37,30,NA,7915,37,10,56,23784,29,30,18,1.12,62,NA,NA,NA,NA,NA,NA,159,35,198,56,NA,NA,311,29,508,28,NA,NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA
Minneapolis-St. Paul MN,Lrg,1993,2115,15,983,914,20860,1555,18235,4315,286.8,66.6,10.78,60.84,1.14,1.21,38,33,NA,10439,27,7,72,28949,22,21,56,1.15,37,NA,NA,NA,NA,NA,NA,210,26,148,72,NA,NA,382,23,377,57,NA,NA,NA,NA,NA,NA,NA,NA,0.93,NA,NA
Nashville-Davidson TN,Lrg,1993,605,55,281,261,7810,690,6875,1435,41.8,6.6,10.78,60.84,1.07,1.14,29,35,NA,7881,38,17,15,12746,43,32,16,1.14,44,NA,NA,NA,NA,NA,NA,159,35,339,17,NA,NA,175,42,571,18,NA,NA,NA,NA,NA,NA,NA,NA,0.84,NA,NA
New Haven CT,Med,1993,465,69,220,207,4605,390,2810,755,36.6,13.9,10.78,60.84,1.23,1.18,26,28,NA,3859,61,11,44,7949,57,25,40,1.13,49,NA,NA,NA,NA,NA,NA,77,60,234,40,NA,NA,104,59,426,47,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA
New Orleans LA,Lrg,1993,1080,34,472,438,5105,405,7725,1810,212.8,71,10.78,60.84,1.12,1.18,41,34,NA,7523,39,9,61,13628,41,17,66,1.2,13,NA,NA,NA,NA,NA,NA,153,37,194,58,NA,NA,201,40,335,64,NA,NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA
New York-Newark NY-NJ-CT,Vlg,1993,16115,1,6446,4299,84210,6310,67905,17305,13838.5,2419.4,10.78,60.84,1.21,1.13,46,45,NA,120232,2,13,30,235508,2,24,43,1.22,9,NA,NA,NA,NA,NA,NA,2419,2,252,31,NA,NA,3278,2,441,43,NA,NA,NA,NA,NA,NA,NA,NA,0.92,NA,NA
Oklahoma City OK,Med,1993,725,45,344,322,7725,725,9150,2275,16.6,4.9,10.78,60.84,1.05,1.09,16,15,NA,3892,58,9,61,9068,50,20,58,1.06,84,NA,NA,NA,NA,NA,NA,78,57,178,64,NA,NA,121,51,341,62,NA,NA,NA,NA,NA,NA,NA,NA,0.77,NA,NA
Omaha NE-IA,Med,1993,540,60,256,240,2455,255,5685,1220,20.1,5.3,10.78,60.84,1.15,1.19,28,33,NA,2591,74,8,69,4163,76,11,87,1.07,81,NA,NA,NA,NA,NA,NA,52,74,161,67,NA,NA,54,77,192,88,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA
Orlando FL,Lrg,1993,965,37,449,417,6700,620,10860,1700,59,11.1,10.78,60.84,1.13,1.22,59,61,NA,13880,22,20,8,25816,28,40,7,1.2,13,NA,NA,NA,NA,NA,NA,280,20,406,9,NA,NA,357,25,707,9,NA,NA,NA,NA,NA,NA,NA,NA,0.96,NA,NA
Oxnard CA,Med,1993,510,64,242,227,5390,350,4070,620,12.5,2.9,10.78,60.84,1.23,1.26,32,25,NA,1533,83,5,86,4046,78,12,84,1.04,96,NA,NA,NA,NA,NA,NA,27,84,90,88,NA,NA,54,77,217,82,NA,NA,NA,NA,NA,NA,NA,NA,1.15,NA,NA
Pensacola FL-AL,Sml,1993,270,88,125,117,860,95,3305,600,6.3,1.3,10.78,60.84,1.13,1.22,20,22,NA,1212,88,7,72,2250,88,12,84,1.08,75,NA,NA,NA,NA,NA,NA,24,86,142,76,NA,NA,32,88,209,85,NA,NA,NA,NA,NA,NA,NA,NA,0.91,NA,NA
Philadelphia PA-NJ-DE-MD,Vlg,1993,4625,4,2026,1615,23395,2040,35825,6410,1366.5,341.4,10.78,60.84,1.09,1.21,43,44,NA,32116,10,11,44,73612,10,24,43,1.16,34,NA,NA,NA,NA,NA,NA,646,10,215,48,NA,NA,989,11,435,46,NA,NA,NA,NA,NA,NA,NA,NA,0.92,NA,NA
Phoenix-Mesa AZ,Vlg,1993,2070,17,911,820,9910,680,26215,5020,143.3,34.8,10.78,60.84,1.18,1.2,48,34,NA,16549,17,14,26,32791,19,27,28,1.1,69,NA,NA,NA,NA,NA,NA,338,15,277,24,NA,NA,501,18,544,21,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,NA
Pittsburgh PA,Lrg,1993,1770,20,782,727,9350,1170,17385,3570,391,80.6,10.78,60.84,1.09,1.21,22,33,NA,17435,14,16,20,41586,14,39,9,1.27,5,NA,NA,NA,NA,NA,NA,350,14,310,20,NA,NA,543,14,653,12,NA,NA,NA,NA,NA,NA,NA,NA,0.73,NA,NA
Portland OR-WA,Lrg,1993,1275,28,552,511,10315,685,10480,2125,248.1,65,10.78,60.84,1.26,1.29,49,40,NA,11158,26,12,36,25970,27,32,16,1.18,18,NA,NA,NA,NA,NA,NA,225,25,246,35,NA,NA,353,26,577,16,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,NA
Poughkeepsie-Newburgh NY,Med,1993,360,75,171,160,3440,305,2900,565,9.2,1.1,10.78,60.84,1.21,1.13,18,28,NA,1973,78,6,80,4147,77,17,66,1.09,70,NA,NA,NA,NA,NA,NA,40,76,125,82,NA,NA,56,76,283,71,NA,NA,NA,NA,NA,NA,NA,NA,0.86,NA,NA
Providence RI-MA,Lrg,1993,1120,33,533,495,8055,810,6675,1810,70,15,10.78,60.84,1.08,1.12,21,30,NA,5592,46,6,80,10920,47,14,78,1.12,62,NA,NA,NA,NA,NA,NA,111,47,126,81,NA,NA,143,47,255,80,NA,NA,NA,NA,NA,NA,NA,NA,0.72,NA,NA
Provo-Orem UT,Sml,1993,350,77,162,152,2750,185,2200,335,0,0,10.78,60.84,1.15,1.22,16,19,NA,1069,90,5,86,3139,82,14,78,1.05,90,NA,NA,NA,NA,NA,NA,21,88,102,86,NA,NA,38,84,199,87,NA,NA,NA,NA,NA,NA,NA,NA,1.12,NA,NA
Raleigh-Durham NC,Lrg,1993,565,59,263,244,5190,455,6880,1455,33.5,9.4,10.78,60.84,1.07,1.13,29,36,NA,2848,72,7,72,6277,66,16,71,1.09,70,NA,NA,NA,NA,NA,NA,58,71,142,76,NA,NA,86,68,297,69,NA,NA,NA,NA,NA,NA,NA,NA,0.86,NA,NA
Richmond VA,Med,1993,700,48,332,311,7500,650,5610,1710,48.9,19.8,10.78,60.84,1.07,1.13,21,29,NA,3442,68,7,72,7520,60,16,71,1.09,70,NA,NA,NA,NA,NA,NA,69,66,140,78,NA,NA,98,62,262,77,NA,NA,NA,NA,NA,NA,NA,NA,0.79,NA,NA
Riverside-San Bernardino CA,Lrg,1993,1395,25,629,584,13690,815,11100,2415,83.3,12.3,10.78,60.84,1.23,1.26,51,28,NA,8149,36,9,61,19606,32,22,52,1.13,49,NA,NA,NA,NA,NA,NA,130,43,149,71,NA,NA,275,32,400,54,NA,NA,NA,NA,NA,NA,NA,NA,1.14,NA,NA
Rochester NY,Med,1993,620,52,294,275,4900,495,3155,1325,47.1,14.4,10.78,60.84,1.21,1.13,15,19,NA,3451,67,13,30,7835,58,17,66,1.13,49,NA,NA,NA,NA,NA,NA,69,66,257,30,NA,NA,102,60,313,67,NA,NA,NA,NA,NA,NA,NA,NA,0.66,NA,NA
Sacramento CA,Lrg,1993,1205,31,537,486,10280,700,10505,1820,96.8,21.9,10.78,60.84,1.23,1.26,59,50,NA,9330,32,11,44,22916,30,29,22,1.16,34,NA,NA,NA,NA,NA,NA,145,39,179,63,NA,NA,300,30,505,29,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA,NA
Salem OR,Sml,1993,175,98,81,76,935,95,1535,280,9.8,3.1,10.78,60.84,1.26,1.29,21,25,NA,1550,82,12,36,3126,83,26,35,1.14,44,NA,NA,NA,NA,NA,NA,31,80,242,37,NA,NA,44,81,448,41,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA
Salt Lake City UT,Lrg,1993,810,43,384,360,6010,475,6570,1095,124.8,25.1,10.78,60.84,1.15,1.22,44,44,NA,5071,51,9,61,13539,42,24,43,1.18,18,NA,NA,NA,NA,NA,NA,101,51,181,62,NA,NA,171,43,418,48,NA,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA
San Antonio TX,Lrg,1993,1195,32,556,516,11340,1055,8720,2085,156.3,44.6,10.78,60.84,1.1,1.17,23,25,NA,3549,65,3,96,8955,52,11,87,1.06,84,NA,NA,NA,NA,NA,NA,71,64,70,92,NA,NA,117,54,201,86,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,NA
San Diego CA,Vlg,1993,2530,13,1113,1002,27470,1670,17965,2790,375.6,73.2,10.78,60.84,1.23,1.26,71,57,NA,14538,20,9,61,37853,16,23,48,1.13,49,NA,NA,NA,NA,NA,NA,209,27,129,80,NA,NA,512,16,414,51,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA
San Francisco-Oakland CA,Vlg,1993,3810,7,1692,1509,41500,2230,27775,4660,2087.3,415.7,10.78,60.84,1.23,1.26,76,53,NA,64931,3,27,3,151676,3,62,2,1.23,7,NA,NA,NA,NA,NA,NA,1306,3,543,2,NA,NA,2006,3,1055,3,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA
San Jose CA,Lrg,1993,1525,24,709,659,16555,1015,12785,2200,221.6,52,10.78,60.84,1.23,1.26,56,40,NA,17158,15,17,15,39668,15,37,12,1.2,13,NA,NA,NA,NA,NA,NA,259,21,246,35,NA,NA,519,15,661,11,NA,NA,NA,NA,NA,NA,NA,NA,1.16,NA,NA
San Juan PR,Lrg,1993,1940,19,902,838,6450,580,8200,1580,94.7,36,10.78,60.84,1.5,1.68,44,49,NA,10331,28,7,72,18262,33,14,78,1.15,37,NA,NA,NA,NA,NA,NA,208,28,152,69,NA,NA,244,33,271,75,NA,NA,NA,NA,NA,NA,NA,NA,0.87,NA,NA
Sarasota-Bradenton FL,Med,1993,475,68,225,211,370,50,4385,880,9.1,2.1,10.78,60.84,1.13,1.22,42,47,NA,3874,59,14,26,5774,70,18,64,1.12,62,NA,NA,NA,NA,NA,NA,78,57,262,28,NA,NA,78,70,306,68,NA,NA,NA,NA,NA,NA,NA,NA,0.91,NA,NA
Seattle WA,Vlg,1993,2435,14,1118,1009,25425,1560,20115,3100,732.8,116.9,10.78,60.84,1.19,1.23,66,55,NA,38820,9,24,4,80933,8,52,4,1.28,4,NA,NA,NA,NA,NA,NA,786,9,497,3,NA,NA,1139,8,983,4,NA,NA,NA,NA,NA,NA,NA,NA,1.19,NA,NA
Spokane WA-ID,Sml,1993,305,84,141,132,1185,125,3850,955,37.8,8,10.78,60.84,1.19,1.23,18,24,NA,4065,56,16,20,7500,61,34,14,1.17,25,NA,NA,NA,NA,NA,NA,82,55,320,18,NA,NA,108,58,624,14,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA
Springfield MA-CT,Med,1993,590,56,280,262,3530,380,5365,1250,34.1,12,10.78,60.84,1.15,1.2,17,24,NA,4447,53,11,44,9047,51,23,48,1.13,49,NA,NA,NA,NA,NA,NA,89,52,219,44,NA,NA,119,52,369,58,NA,NA,NA,NA,NA,NA,NA,NA,0.73,NA,NA
St. Louis MO-IL,Lrg,1993,1980,18,921,855,20730,1620,14000,2950,184.3,41.8,10.78,60.84,0.98,1.08,38,35,NA,16386,18,13,30,35755,18,27,28,1.2,13,NA,NA,NA,NA,NA,NA,332,17,271,27,NA,NA,498,19,504,30,NA,NA,NA,NA,NA,NA,NA,NA,0.92,NA,NA
Stockton CA,Sml,1993,295,85,137,128,2000,170,1900,395,12,2.7,10.78,60.84,1.23,1.26,18,29,NA,823,93,5,86,1563,93,8,95,1.15,37,NA,NA,NA,NA,NA,NA,11,95,66,93,NA,NA,26,92,155,95,NA,NA,NA,NA,NA,NA,NA,NA,0.87,NA,NA
Tampa-St. Petersburg FL,Lrg,1993,1755,22,816,758,6825,485,14785,2110,91.5,18.8,10.78,60.84,1.13,1.22,64,64,NA,15522,19,12,36,32783,20,27,28,1.22,9,NA,NA,NA,NA,NA,NA,312,18,241,38,NA,NA,440,20,489,32,NA,NA,NA,NA,NA,NA,NA,NA,1.18,NA,NA
Toledo OH-MI,Med,1993,490,66,232,218,3095,320,3120,775,26.4,5.8,10.78,60.84,1.09,1.19,14,22,NA,2094,76,4,92,4267,74,13,81,1.08,75,NA,NA,NA,NA,NA,NA,42,75,78,91,NA,NA,57,75,216,83,NA,NA,NA,NA,NA,NA,NA,NA,0.72,NA,NA
Tucson AZ,Med,1993,590,56,280,262,1330,120,7675,1535,59.7,18.5,10.78,60.84,1.18,1.2,39,40,NA,6068,44,14,26,8352,56,20,58,1.13,49,NA,NA,NA,NA,NA,NA,124,44,292,23,NA,NA,129,50,410,52,NA,NA,NA,NA,NA,NA,NA,NA,0.93,NA,NA
Tulsa OK,Med,1993,640,51,303,284,5265,525,7200,1705,17.5,3.1,10.78,60.84,1.05,1.09,18,21,NA,3540,66,7,72,6310,65,16,71,1.06,84,NA,NA,NA,NA,NA,NA,71,64,148,72,NA,NA,88,67,275,73,NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,NA
Virginia Beach VA,Lrg,1993,1390,26,646,600,9195,800,11500,2575,62.3,13.5,10.78,60.84,1.07,1.13,34,34,NA,10300,29,11,44,27068,25,29,22,1.17,25,NA,NA,NA,NA,NA,NA,206,29,206,53,NA,NA,346,28,509,27,NA,NA,NA,NA,NA,NA,NA,NA,0.84,NA,NA
Washington DC-VA-MD,Vlg,1993,3420,9,1717,1473,29320,1900,33035,5250,1447.4,353.3,10.78,60.84,1.12,1.25,69,61,NA,57049,5,28,1,123079,5,60,3,1.27,5,NA,NA,NA,NA,NA,NA,1142,5,554,1,NA,NA,1615,5,1060,2,NA,NA,NA,NA,NA,NA,NA,NA,1.15,NA,NA
Wichita KS,Med,1993,380,74,180,169,2150,345,4235,1100,10.7,2.4,10.78,60.84,1.08,1.21,7,13,NA,3392,69,12,36,4208,75,15,75,1.08,75,NA,NA,NA,NA,NA,NA,68,68,248,32,NA,NA,60,74,270,76,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA
Winston-Salem NC,Sml,1993,250,90,116,108,3100,300,1250,265,18.7,3.6,10.78,60.84,1.07,1.13,7,7,NA,742,95,6,80,1476,94,9,94,1.05,90,NA,NA,NA,NA,NA,NA,15,91,121,84,NA,NA,20,94,157,94,NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,NA
Worcester MA-CT,Sml,1993,390,73,181,169,4100,380,3870,945,12,5,10.78,60.84,1.15,1.2,17,26,NA,3741,63,11,44,7289,62,26,35,1.13,49,NA,NA,NA,NA,NA,NA,75,61,219,44,NA,NA,99,61,439,45,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,NA
Akron OH,Med,1992,525,61,246,230,4230,415,3365,1070,24,8.1,10.47,59.01,1.11,1.19,16,27,NA,3034,67,7,69,6943,61,18,59,1.12,54,NA,NA,NA,NA,NA,NA,61,66,130,76,NA,NA,91,60,313,60,NA,NA,NA,NA,NA,NA,NA,NA,0.71,NA,NA
Albany NY,Med,1992,490,65,229,215,4405,520,3700,1130,57.2,12.5,10.47,59.01,1.24,1,10,22,NA,2792,69,9,56,4591,71,15,73,1.08,72,NA,NA,NA,NA,NA,NA,56,68,189,54,NA,NA,64,70,257,72,NA,NA,NA,NA,NA,NA,NA,NA,0.62,NA,NA
Albuquerque NM,Med,1992,525,61,246,230,2670,235,6275,1280,21,6.4,10.47,59.01,1.2,1.15,37,39,NA,4288,54,11,37,8931,49,24,33,1.12,54,NA,NA,NA,NA,NA,NA,50,71,126,77,NA,NA,120,47,432,33,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA
Allentown-Bethlehem PA-NJ,Med,1992,525,61,246,230,2670,270,3800,715,17.1,4.3,10.47,59.01,1.14,1.28,29,37,NA,3232,65,7,69,7150,58,19,55,1.15,30,NA,NA,NA,NA,NA,NA,65,63,144,69,NA,NA,96,57,345,58,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA
Anchorage AK,Sml,1992,240,90,109,103,1120,170,1920,345,15,3.1,10.47,59.01,1.29,1.18,17,23,NA,2181,75,16,15,4259,73,23,37,1.18,17,NA,NA,NA,NA,NA,NA,38,76,285,22,NA,NA,57,73,383,45,NA,NA,NA,NA,NA,NA,NA,NA,0.71,NA,NA
Atlanta GA,Vlg,1992,2970,11,1286,1157,27510,2040,26510,4000,595.7,143.6,10.47,59.01,0.99,1.11,51,45,NA,25876,11,15,20,62094,11,35,12,1.16,22,NA,NA,NA,NA,NA,NA,523,11,296,19,NA,NA,827,11,634,12,NA,NA,NA,NA,NA,NA,NA,NA,1.06,NA,NA
Austin TX,Lrg,1992,710,47,325,302,6100,510,4500,940,90.6,25.8,10.47,59.01,1.09,1.17,36,38,NA,4552,49,10,50,9175,48,19,55,1.16,22,NA,NA,NA,NA,NA,NA,91,49,193,53,NA,NA,118,49,361,50,NA,NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA
Bakersfield CA,Med,1992,325,80,152,143,1520,160,3200,915,19,5.7,10.47,59.01,1.28,1.25,11,15,NA,501,98,3,94,648,98,2,101,1.05,89,NA,NA,NA,NA,NA,NA,10,93,58,92,NA,NA,10,98,57,100,NA,NA,NA,NA,NA,NA,NA,NA,0.69,NA,NA
Baltimore MD,Lrg,1992,2040,16,934,868,17625,1350,16000,3075,491.8,106.2,10.47,59.01,1.18,1.28,43,42,NA,15646,17,11,37,35549,17,26,26,1.13,43,NA,NA,NA,NA,NA,NA,316,16,231,37,NA,NA,472,18,476,24,NA,NA,NA,NA,NA,NA,NA,NA,0.96,NA,NA
Baton Rouge LA,Med,1992,380,73,178,167,2400,180,4550,1105,11,4.3,10.47,59.01,1.12,1.2,22,23,NA,4353,52,17,11,4816,69,20,49,1.1,65,NA,NA,NA,NA,NA,NA,90,51,349,10,NA,NA,74,67,448,30,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA
Beaumont TX,Sml,1992,210,95,96,90,1825,200,1650,540,7.2,1.9,10.47,59.01,1.09,1.17,9,14,NA,829,92,6,77,1198,96,9,92,1.04,95,NA,NA,NA,NA,NA,NA,17,90,123,80,NA,NA,16,96,151,92,NA,NA,NA,NA,NA,NA,NA,NA,0.64,NA,NA
Birmingham AL,Med,1992,640,50,300,281,6360,650,6375,1410,34.7,6.6,10.47,59.01,1.2,1.21,19,25,NA,3681,56,9,56,7088,59,17,61,1.08,72,NA,NA,NA,NA,NA,NA,74,55,178,58,NA,NA,95,58,312,61,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA
Boise ID,Sml,1992,175,97,80,75,750,75,2065,490,4.2,1.2,10.47,59.01,1.21,1.21,18,30,NA,518,97,3,94,1002,97,8,94,1.04,95,NA,NA,NA,NA,NA,NA,8,96,39,97,NA,NA,13,97,141,96,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,NA
Boston MA-NH-RI,Vlg,1992,3630,8,1739,1565,29865,2010,24000,4550,1217.4,323.9,10.47,59.01,1.14,1.21,50,38,NA,42653,7,18,9,86050,7,38,10,1.29,3,NA,NA,NA,NA,NA,NA,857,7,374,8,NA,NA,1114,7,673,9,NA,NA,NA,NA,NA,NA,NA,NA,1.06,NA,NA
Boulder CO,Sml,1992,125,99,57,53,385,50,1050,185,0,0,10.47,59.01,1.23,1.23,21,29,NA,1473,81,19,8,2205,86,26,26,1.13,43,NA,NA,NA,NA,NA,NA,30,79,362,9,NA,NA,28,87,448,30,NA,NA,NA,NA,NA,NA,NA,NA,0.84,NA,NA
Bridgeport-Stamford CT-NY,Med,1992,715,46,335,314,7455,520,4430,1110,22.9,9.9,10.47,59.01,1.26,1.25,48,38,NA,6643,40,13,27,14418,37,30,14,1.15,30,NA,NA,NA,NA,NA,NA,134,39,259,26,NA,NA,173,41,526,18,NA,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA
Brownsville TX,Sml,1992,125,99,57,53,245,30,680,195,15,1.8,10.47,59.01,1.09,1.17,10,18,NA,243,100,0,99,399,100,5,98,1.13,43,NA,NA,NA,NA,NA,NA,5,100,0,99,NA,NA,5,101,91,99,NA,NA,NA,NA,NA,NA,NA,NA,0.64,NA,NA
Buffalo NY,Lrg,1992,1070,35,423,393,5365,645,6025,2120,94.4,31.6,10.47,59.01,1.24,1,13,15,NA,4878,47,7,69,10255,46,16,67,1.1,65,NA,NA,NA,NA,NA,NA,98,47,143,71,NA,NA,136,46,256,73,NA,NA,NA,NA,NA,NA,NA,NA,0.59,NA,NA
Cape Coral FL,Sml,1992,250,89,114,107,330,40,2430,475,9.2,1.5,10.47,59.01,1.12,1.2,28,32,NA,2317,73,15,20,3392,79,21,47,1.15,30,NA,NA,NA,NA,NA,NA,47,73,297,18,NA,NA,47,79,361,50,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA
Charleston-North Charleston SC,Med,1992,410,71,192,180,2050,190,4660,755,15.8,3.7,10.47,59.01,1,1.09,40,41,NA,3633,57,14,24,6813,62,26,26,1.15,30,NA,NA,NA,NA,NA,NA,73,56,275,24,NA,NA,92,59,461,26,NA,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA
Charlotte NC-SC,Lrg,1992,600,54,275,255,3300,260,4700,1045,45.3,10.9,10.47,59.01,1.08,1.15,39,36,NA,4472,50,12,31,7264,56,19,55,1.15,30,NA,NA,NA,NA,NA,NA,91,49,253,29,NA,NA,100,53,351,56,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA
Chicago IL-IN,Vlg,1992,7515,3,3224,2711,39000,2440,39910,11520,2648.1,585.5,10.47,59.01,1.19,1.26,62,52,NA,62323,4,13,27,135486,4,29,18,1.17,19,NA,NA,NA,NA,NA,NA,1138,4,240,35,NA,NA,1912,4,561,14,NA,NA,NA,NA,NA,NA,NA,NA,1.02,NA,NA
Cincinnati OH-KY-IN,Lrg,1992,1220,29,566,509,11610,910,7015,1990,162.1,32.4,10.47,59.01,1.11,1.19,40,42,NA,11904,22,12,31,25841,22,30,14,1.15,30,NA,NA,NA,NA,NA,NA,241,21,242,32,NA,NA,338,22,527,17,NA,NA,NA,NA,NA,NA,NA,NA,0.87,NA,NA
Cleveland OH,Lrg,1992,1765,21,814,730,14125,1200,8490,1945,247.3,58.9,10.47,59.01,1.11,1.19,24,26,NA,9714,27,9,56,18542,31,16,67,1.14,38,NA,NA,NA,NA,NA,NA,194,27,186,55,NA,NA,237,31,278,66,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA
Colorado Springs CO,Med,1992,340,77,159,149,1815,230,3170,905,17.5,4.3,10.47,59.01,1.23,1.23,14,20,NA,1265,86,6,77,2538,85,11,83,1.06,83,NA,NA,NA,NA,NA,NA,25,82,117,85,NA,NA,33,85,188,87,NA,NA,NA,NA,NA,NA,NA,NA,0.62,NA,NA
Columbia SC,Sml,1992,340,77,155,145,2955,325,3795,800,11.9,3.5,10.47,59.01,1,1.09,14,28,NA,1648,79,7,69,3236,80,14,76,1.06,83,NA,NA,NA,NA,NA,NA,33,78,144,69,NA,NA,44,81,246,77,NA,NA,NA,NA,NA,NA,NA,NA,0.74,NA,NA
Columbus OH,Lrg,1992,950,37,435,404,9460,780,6435,1280,86.5,18.2,10.47,59.01,1.11,1.19,35,32,NA,6101,43,11,37,13641,39,20,49,1.1,65,NA,NA,NA,NA,NA,NA,122,43,209,45,NA,NA,181,38,397,43,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA
